品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
苹果iPhone 7 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|苹果 A10+M10协处理器|2.33GHz  四核|2900mAh  不可拆卸式电池|双1200万像素|iOS 10|3GB|3699
vivo Y97（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2280x1080像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3315mAh  不可拆卸式电池|1600万像素+200万像素|Funtouch Os 4.5（基于Android 8.1）|4GB|1898
荣耀畅玩8A（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.088英寸  1560x720像素|联发科 Helio P35（MT6765）|2.3GHz（大四核），1.8GHz（小四核）  八核|3020mAh  不可拆卸式电池|1300万像素|EMUI 9.0（基于Android 9.0）|3GB|799
三星GALAXY S9+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2960x1440像素|高通 骁龙845|2.8GHz（大四核），1.7GHz（小四核）  真八核|3500mAh  不可拆卸式电池|双1200万像素|Android 8.0|6GB|6699
荣耀Note10（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.95英寸  2220x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）  八核|5000mAh  不可拆卸式电池|2400万像素+1600万像素|EMUI 8.2（基于Android 8.1）|6GB|2699
联想Z5 Pro（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙710|3350mAh  不可拆卸式电池|2400万像素+1600万像素|ZUI 10.0（基于Android O）|6GB|64GB/128GB|1998
苹果iPhone SE 2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸|苹果 A10|1900万像素|3GB|64GB/128GB/256GB|1200万像素|OLED|概念产品
华为Mate 20 X（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.2英寸  2244x1080像素|海思 Kirin 980|2×Cortex A76 2.6GHz+2×Cortex A76 1.92GHz+4×Cortex A55 1.8GHz  八核|5000mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|EMUI 9（基于Android 9.0）|6GB|4999
索尼Xperia 1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  3840x1644像素|高通 骁龙855|1x2.84GHz（超级大核）+3x2.42GHz（大核）+4x1.80GHz（小核）  八核|3300mAh  不可拆卸式电池|1200万像素+1200万像素+1200万像素|Android 9.0（Pie）|6GB|即将上市
小米8青春版（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙660 AIE|2.2GHz  八核|3350mAh  不可拆卸式电池|1200万像素+500万像素|Android 8.1|4GB|1338
小米MIX 3（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙845 AIE|3200mAh  不可拆卸式电池|双1200万像素|6GB|128GB|双卡，Nano SIM卡|3299
魅族X8（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2220x1080像素|高通 骁龙710|2.2GHz  八核|3210mAh  不可拆卸式电池|1200万像素+500万像素|4GB|64GB|1298
魅族Note8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙632|1.8GHz  八核|3600mAh  不可拆卸式电池|1200万像素+500万像素|Android|4GB|999
魅族16th Plus（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|3640mAh  不可拆卸式电池|2000万像素+1200万像素|Flyme OS|6GB|3198
vivo Y93s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|联发科 MT6762|2.0GHz  八核|4030mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS（基于Android 8.1）|4GB|1698
荣耀8X（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|3750mAh  不可拆卸式电池|2000万像素+200万像素|EMUI 8.2（基于Android 8.1）|6GB|1599
华为Mate 10（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.9英寸  2560x1440像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|4000mAh  不可拆卸式电池|2000万像素+1200万像素|EMUI 8.0（基于Android 8.0）|4GB|3399
一加7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|Android 8.1|6GB|64GB|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|概念产品
