品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
三星Galaxy M30（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.38英寸  2220x1080像素|三星 Exynos 7885|5000mAh  不可拆卸式电池|1200万像素+500万像素+500万像素|Android 8.0|3GB|32GB/64GB|概念产品
小米6 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸|LED补光灯|2018年|4G手机，3G手机，智能手机，平板手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|GPS导航|概念产品
中兴天机7（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙820（MSM8996）|2.15GHz  四核|3250mAh  不可拆卸式电池|2000万像素|Android 6.0|4GB|2560
海信小海豚3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.217英寸  1520x720像素|高通 骁龙439|1.8GHz（大四核），1.4GHz（小四核）  八核|4500mAh  不可拆卸式电池|1300万像素|Android O|4GB|899
酷派酷玩7C（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1440x720像素|联发科 MT6750|1.5GHz  八核|2500mAh  不可拆卸式电池|800万像素|Android|3GB|699
小米红米Note 5 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙636|4000mAh|1200万像素+500万像素|MIUI 9（基于Android 7.1）|4GB/6GB|64GB|即将上市
中国移动A3（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.3GHz  四核|2500mAh|500万像素|YunOS|1GB|8GB|499
夏普S2（珍藏版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2040x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  八核|3020mAh  不可拆卸式电池|1200万像素+800万像素|Android|6GB|1799
中兴天机7 Max（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|4100mAh  不可拆卸式电池|双1300万像素|Mifavor 4.0（基于Android 6.0）|4GB|1658
小米红米Note 6 Pro（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙636|4000mAh  不可拆卸式电池|1200万像素+500万像素|6GB|64GB|双卡（2+1卡槽，双Nano-Sim卡+micro-SD卡）
三星2018版GALAXY A8（全网通）|全网通：移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.6英寸  2220x1080像素|3000mAh  不可拆卸式电池|1600万像素|Android 7.1.1|4GB|32GB|MicroSD卡|2899
黑莓P9983（联通3G）|LTE|3.1英寸  720x720像素|高通 骁龙800|1.5GHz  双核|2100mAh  可拆卸式电池|800万像素|BlackBerry OS 10.3|2GB|4250
ivvi V3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|3200mAh|1300万像素|Android 7.0|3GB|32GB|1599
vivo Y79（移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3225mAh|1600万像素|Android 7.1|4GB|1998
飞利浦V989（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|3.7英寸|联发科 MT6732|1.5GHz  四核|2010mAh  可拆卸式电池|1300万像素|Android 4.4|2GB|1699
OPPO Find X（10GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.42英寸  2340x1080像素|高通 骁龙845|2.8GHz  八核|3730mAh  不可拆卸式电池|2000万像素+1600万像素|Color OS 5.1（基于Android 8.1）|10GB|概念产品
中国移动A3s（移动4G）|移动TD-LTE|5.2英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|2800mAh|800万像素|Android 7.1|2GB|542
金立S11S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|联发科 Helio P30|2.3GHz  八核|3600mAh  不可拆卸式电池|1600万像素+800万像素|amigo 5.0（基于Android 7.1）|6GB|3299
夏普Z3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|高通 骁龙652（MSM8976）|1.8GHz（大四核），1.4GHz（小四核）  八核|3100mAh|1600万像素|Android 7.0|4GB|2499
努比亚Z17S（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.73英寸  2040x1080像素|高通 骁龙835（MSM8998）|2.45GHz  八核|3100mAh  不可拆卸式电池|2300万像素+1200万像素|nubia UI 5.1（基于Android 7.1）|8GB|3999
努比亚N1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|5000mAh  不可拆卸式电池|1300万像素|nubia UI 4.0（基于Android 6.0）|3GB|64GB|899
华为Y7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙435（MSM8940）|1.4GHz（大四核），1.1GHz（小四核）  八核|4000mAh|1200万像素|EMUI 5.1（基于Android 7.0）|2GB|即将上市
LG 折叠屏手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  3120x1440像素|高通 骁龙855|3500mAh  不可拆卸式电池|2400万像素+1600万像素|Android 8.1|6GB|128GB|概念产品
努比亚Z18（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.649GHz  八核|3450mAh  不可拆卸式电池|1600万像素+2400万像素|nubia UI 6.0（基于Android 8.1.0）|8GB|3299
联想K5 Play（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|ZUI 3.7（基于Android O）|2GB|659
诺基亚X5（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.86英寸  1520x720像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3060mAh  不可拆卸式电池|1300万像素+500万像素|Android 8.1|4GB|1160
海信F26（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|3000mAh  不可拆卸式电池|1300万像素|2GB|16GB|999
海信H18（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.19英寸  1500x720像素|高通 骁龙450|3500mAh  不可拆卸式电池|1200万像素+500万像素|Android O|4GB|64GB|1799
联想PB1-750P（移动4G）|移动TD-LTE|6.98英寸  1280x720像素|高通 骁龙410（MSM8916）|1.2GHz  四核|4250mAh  不可拆卸式电池|1300万像素|Android|2GB|699
诺基亚2017版105（移动/联通2G）|1.4英寸  160x120像素|800mAh|4MB|4MB|单卡/双卡|TFT材质|2017年|老人手机|159
Moto P30 Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.86英寸  1520x720像素|高通 骁龙625|1.8GHz  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|ZUI 4.0 （基于Android 8.0)|4GB|1899
酷派COOL M7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3200mAh  不可拆卸式电池|1200万像素|Journey UI（基于Android 7.1）|4GB|738
锤子科技M1L（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|高通 骁龙821（MSM8996 Pro）|2.35GHz  四核|4080mAh|2300万像素|Smartisan OS 3.1|6GB|2399
海信H11（尊享版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙630|2.2GHz|3400mAh|1200万像素+800万像素|Android 7.0|6GB|3299
天语8818（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|1.3GHz  四核|2650mAh  不可拆卸式电池|1300万像素+500万像素|Android 6.0|2GB|429
荣耀Note9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|GPS导航|概念产品
酷派锋尚N2M（1GB RAM/MTS-T0/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|展讯 SC9832|1.3GHz  四核|1950mAh  不可拆卸式电池|500万像素|Android 6.0|1GB|268
保千里打令VR手机（D7精英版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio X20（MT6797）|2.5GHz  十核|3560mAh  不可拆卸式电池|2600万像素VR摄像头+1300万像素|Android 6.0|3GB|4980
HTC U11（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3000mAh|1200万像素|Android 7.1|6GB|2999
OPPO A3s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|高通 骁龙450|1.8GHz  八核|4230mAh  不可拆卸式电池|1300万像素+200万像素|ColorOS 5.1（基于Android 8.1）|3GB|概念产品
LG V35 ThinQ（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2880x1440像素|高通 骁龙845|3300mAh|双1600万像素|Android 8.0|6GB|64GB|即将上市
青橙VOGA 2 AI激光投影手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|联发科 MT6763|2.0GHz  八核|4000mAh  不可拆卸式电池|1600万像素|Android|6GB|6888
魅族魅蓝A5（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.3GHz  四核|3060mAh|800万像素|2GB|16GB|409
天语X15（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|2350mAh|1300万像素|2GB|16GB|双卡，Nano SIM卡|MicroSD卡|399
魅族魅蓝E2（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P20|2.3GHz（大四核），1.6GHz（小四核）  八核|3400mAh  不可拆卸式电池|1300万像素|Flyme 6（基于YunOS）|4GB|1599
小米MIX 2s翡翠艺术版（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|3400mAh  不可拆卸式电池|双1200万像素|8GB|256GB|3999
OPPO realme U1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.9英寸  2280x1080像素|联发科 Helio P70|2.1GHz（大四核），2.0GHz（小四核）  八核|3500mAh  不可拆卸式电池|2400万像素+1600万像素|4GB|64GB|概念产品
三星GALAXY S6（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.1英寸  2560x1440像素|三星 Exynos 7420|2.1GHz（大四核），1.5GHz（小四核）  八核|2550mAh  不可拆卸式电池|1600万像素|Android 5.0|3GB|1799
三星GALAXY S9 mini（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸|高通 骁龙845|6GB|64GB|CMOS|LED补光灯|2018年02月|概念产品
长虹A600（移动4G）|移动TD-LTE|4.2英寸  1280x720像素|MTK6735p|500万像素|Android|2GB|16GB|双卡|649
努比亚Z18S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2880x1440像素|高通 骁龙845|4500mAh  不可拆卸式电池|双1600万像素|8GB|128GB|2000万像素|概念产品
VERTU ASTER P（哥特系列/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙660|3200mAh  不可拆卸式电池|1200万像素|6GB|128GB|双卡，Nano SIM卡|2000万像素|3.58万
SUGAR Y9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙|3000mAh|1300万像素|SUGAR OS 3.1（基于Android 6.0）|3GB|32GB|1099
诺基亚130|1.8英寸  160x128像素|1020mAh  可拆卸式电池|Nokia Series 30+|双卡，SIM卡|MicroSD卡|2014年08月|非智能手机|32GB|158
魅族魅蓝U10（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|2760mAh  不可拆卸式电池|1300万像素|YunOS|2GB|799
三星GALAXY S7（G930P/单卡版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.1英寸  2560x1440像素|高通 骁龙820（MSM8996）|2.15GHz（大双核），1.6GHz（小双核）  四核|3000mAh  不可拆卸式电池|1200万像素|Android 6.0|4GB|2588
Moto E5 Plus（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz  八核|5000mAh  不可拆卸式电池|1200万像素|ZUI 3.5（基于Android 8.0）|3GB|1299
ivvi C5（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|4000mAh|1300万像素|ivvi UI（基于Android 7.0）|4GB|128GB|1600万像素|3680
魅族魅蓝Note7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸|3100mAh|Android|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|概念产品
黑莓KEY2 LE（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.5英寸  1620x1080像素|高通 骁龙636|3000mAh|1300万像素+500万像素|Android 8.1|4GB|32GB/64GB|即将上市
酷派cool 1C（C107-9/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙652（MSM8976）|1.8GHz（大四核），1.4GHz（小四核）  八核|4060mAh  不可拆卸式电池|1300万像素|EUI 5.8（基于Android 6.0）|3GB|750
乐目沙狐V1（中关村在线联合定制/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6755|2.0GHz（大四核），1.2GHz（小四核）|5000mAh  不可拆卸式电池|1300万像素|Android 6.0|4GB|1999
海信双屏手机A2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3090mAh  不可拆卸式电池|1600万像素|Android 6.0|4GB|1999
三星2017版GALAXY J3（J3308/移动4G）|移动TD-LTE|5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|2600mAh  不可拆卸式电池|1300万像素|Android 6.0|3GB|1055
SUGAR S9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙处理器|3000mAh  不可拆卸式电池|1600万像素|SUGAR OS 3.0（基于Android 6.0）|4GB|64GB/128GB|1299
海信E9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|8英寸  1920x1200像素|高通 骁龙430（MSM8937）|1.4GHz  八核|5050mAh|1300万像素|Android 6.0|3GB|1999
荣耀Note10劳斯莱斯版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.9英寸  2560x1440像素|海思 Kirin 970+微智核i7|双1600万像素|6GB|128GB|CMOS|LED补光灯|概念产品
金立金钢3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1440x720像素|高通 骁龙8917|1.4GHz  四核|4000mAh  不可拆卸式电池|800万像素|Android 7.1|3GB|1199
诺基亚3310复刻版（移动/联通2G）|2.4英寸  320x240像素|1200mAh  可拆卸式电池|200万像素|Nokia Series 30+|QVGA|CMOS|LED补光灯|2017年03月|299
努比亚Z17（黑金版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3200mAh  不可拆卸式电池|2300万像素+1200万像素|nubia UI 5.0（基于Android 7.1）|6GB|2599
小辣椒红辣椒Q1国民全网通（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.0GHz  四核|2260mAh  可拆卸式电池|800万像素|1GB|8GB|369
索尼Xperia XA1（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 Helio P20|2.3GHz（大四核），1.6GHz（小四核）|2300mAh  不可拆卸式电池|2300万像素|Android 7.0|3GB|2699
Moto P30 Note（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2246x1080像素|5000mAh  不可拆卸式电池|1600万像素+500万像素|ZUI 4.0（基于Android 8.0）|6GB|64GB|双卡（2+1卡槽，双Nano-Sim卡+micro-SD卡）|2399
小米6 MIX（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2560x1440像素|高通 骁龙835（MSM8998）|4000mAh|1600万像素|MIUI9（基于Android 7.1）|6GB|128GB|概念产品
vivo Z1i（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙636|1.8GHz（大四核），1.6GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS（基于Android 8.1）|6GB|2298
Moto 青柚1s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2160x1080像素|高通 骁龙450|1.8GHz  八核|3000mAh|1200万像素+500万像素|ZUI 3.5（基于Android 8.0）|4GB|1599
AGM X3（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|4100mAh|2400万像素+1200万像素|Android 8.1|8GB|3699
索尼Xperia XA1 Ultra（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|6英寸  1920x1080像素|联发科 Helio P20|2.3GHz（大四核），1.6GHz（小四核）|2700mAh  不可拆卸式电池|2300万像素|Android 7.0|4GB|1888
SUGAR C11（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|高通 骁龙|3000mAh  不可拆卸式电池|1600万像素|SUGAR OS 3.3（基于Android 7.1）|4GB|64GB|1299
HP Elite x3（移动4G）|移动TD-LTE|5.96英寸  2560x1440像素|高通 骁龙820（MSM8996）|2.2GHz  四核|4150mAh  不可拆卸式电池|1600万像素|Windows Phone 10|4GB|6080
诺基亚11（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙845|3860mAh|1600万像素+1200万像素+800万像素|Android 9.0|6GB/8GB|64GB/128GB/256GB|AMOLED|概念产品
中兴A606（全网通）|5.45英寸  1440x720像素|500万像素|Android 8.1|2GB|16GB|200万像素|CMOS|LED补光灯|概念产品
vivo iQOO（12GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙855|2.84  八核|4000mAh  不可拆卸式电池|1200万像素+1300万像素+200万像素|Funtouch OS 9（基于Android 9.0）|12GB|4298
中兴Axon M（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.4GHz  四核|3180mAh|2000万像素|Android 7.1|6GB|4728
努比亚Z18（8GB RAM/梵高星空典藏版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.649GHz  八核|3450mAh  不可拆卸式电池|1600万像素+2400万像素|nubia UI 6.0（基于Android 8.1.0）|8GB|3599
华硕ZenFone AR（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|高通 骁龙821（MSM8996 Pro）|8GB|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机，平板手机，拍照手机，游戏手机|6999
OPPO realme 2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.23英寸  2280x1080像素|联发科 Helio P60（MT6771）|1600万像素+200万像素|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|即将上市
华为畅享7 Plus（3GB RAM/移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙435（MSM8940）|1.4GHz（大四核），1.1GHz（小四核）  八核|4000mAh  不可拆卸式电池|1200万像素|EMUI 5.1（基于Android 7.0）|3GB|758
联想S5 Pro GT（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2246x1080像素|高通 骁龙660|3500mAh  不可拆卸式电池|1200万像素+2000万像素|ZUI 10（基于Android 8.1）|4GB|64GB|1198
联想PHAB Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.8英寸  1920x1080像素|高通 骁龙615（MSM8939）|1.5GHz  八核|3500mAh  不可拆卸式电池|1300万像素|Android 5.0|2GB|970
索尼Xperia X（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1920x1080像素|高通 骁龙650（MSM8956）|2620mAh  不可拆卸式电池|2300万像素|3GB|32GB/64GB|双卡，Micro SIM卡/Nano SIM卡|2088
荣耀畅玩6X（BLN-AL10/3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|海思 Kirin 655|2.1GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1200万像素+200万像素|EMUI 4.1（基于Android 6.0）|3GB|809
三星GALAXY S8+（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2960x1440像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|3500mAh  不可拆卸式电池|1200万像素|Android 7.0|4GB|4399
酷比K10（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1512x720像素|3300mAh  不可拆卸式电池|1300万像素+辅助景深双摄|dido OS 7.6（基于Android 6.0）|3GB|64GB|双卡，Micro SIM卡|1499
vivo V7+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1280x720像素|高通 骁龙450|3225mAh|1600万像素|Android 7.1|4GB|64GB|即将上市
保千里打令V10S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3200mAh  不可拆卸式电池|1600万像素|Android 7.1|4GB|2399
三星2016版GALAXY On5（G5510/青春版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|2600mAh|1300万像素|Android 6.0|2GB|680
魅族PRO 7 Plus（至臻版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|联发科 Helio X30|2.6GHz（双核），2.2GHz（大四核），1.9GHz（小四核）  十核|3500mAh  不可拆卸式电池|双1200万像素|Flyme 6（基于Android 7.0）|6GB|1999
联想K5 Note（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1440x720像素|高通 骁龙450|1.8GHz  八核|3760mAh  不可拆卸式电池|1600万像素+200万像素|Android|4GB|999
魅族MX6（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio X20|2.3GHz  十核|3060mAh  不可拆卸式电池|1200万像素|Flyme 5.2（基于Android 6.0）|3GB|780
小米Max 3 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7英寸|高通 骁龙710|5400mAh|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|概念产品
vivo Y83 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.22英寸|3260mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS 4.0（基于Android 8.1）|4GB|64GB|800万像素|概念产品
小米红米Note 5A（3GB RAM/高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙435（MSM8940）|3080mAh|1300万像素|MIUI 9|3GB|32GB|899
